van_id,visit_date,outlet_id,lng,lat,check_in_at,check_out_at,travelled_time,created_at
V2XV001,1/7/2023,245941,100.72076,4.85139,2023-07-01 10:59:17.000 +0800,2023-07-01 11:05:04.401 +0800,-00:03:43.599,2023-07-01 10:59:17.304 +0800
V2XV001,3/7/2023,245941,100.72076,4.85139,2023-07-03 08:37:49.000 +0800,2023-07-03 08:45:42.232 +0800,-00:02:54.768,2023-07-03 08:37:49.346 +0800
V2XV001,8/7/2023,245941,100.72076,4.85139,2023-07-08 15:11:54.000 +0800,2023-07-08 15:11:54.000 +0800,0:00:00,2023-07-08 15:11:54.424 +0800
V2XV001,8/7/2023,245941,100.72076,4.85139,2023-07-08 15:08:16.000 +0800,2023-07-08 15:08:26.674 +0800,-00:00:20.326,2023-07-08 15:08:16.241 +0800
V2XV001,11/7/2023,245941,100.72076,4.85139,2023-07-11 08:53:01.000 +0800,2023-07-11 08:55:52.000 +0800,0:00:00,2023-07-11 08:53:01.562 +0800
V2XV001,15/7/2023,245941,100.72076,4.85139,2023-07-15 13:42:05.000 +0800,2023-07-15 13:42:06.000 +0800,0:00:00,2023-07-15 13:42:06.240 +0800
V2XV001,15/7/2023,245941,100.72076,4.85139,2023-07-15 13:36:23.000 +0800,2023-07-15 13:37:41.173 +0800,00:59.2,2023-07-15 13:36:23.778 +0800
V2XV001,22/7/2023,245941,100.72076,4.85139,2023-07-22 13:26:16.000 +0800,2023-07-22 13:26:16.000 +0800,0:00:00,2023-07-22 13:26:16.601 +0800
V2XV001,22/7/2023,245941,100.72076,4.85139,2023-07-22 13:22:13.000 +0800,2023-07-22 13:23:06.551 +0800,-00:00:27.449,2023-07-22 13:22:13.265 +0800
V2XV001,29/7/2023,245941,100.72076,4.85139,2023-07-29 14:21:42.000 +0800,2023-07-29 14:21:43.000 +0800,0:00:00,2023-07-29 14:21:42.548 +0800
V2XV001,29/7/2023,245941,100.72076,4.85139,2023-07-29 14:18:30.000 +0800,2023-07-29 14:18:16.695 +0800,-00:00:27.305,2023-07-29 14:18:30.871 +0800
V2XV003,1/7/2023,300570,100.71893,4.82697,2023-07-01 00:00:00.000 +0800,2023-07-01 00:00:00.000 +0800,0:00:00,2023-07-01 15:34:21.886 +0800
V2XV003,8/7/2023,300570,100.71893,4.82697,2023-07-08 13:16:55.000 +0800,2023-07-08 13:18:00.105 +0800,18:00.1,2023-07-08 13:16:56.024 +0800
V2XV003,15/7/2023,300570,100.71893,4.82697,2023-07-15 12:35:11.000 +0800,2023-07-15 12:36:08.872 +0800,-00:02:46.128,2023-07-15 12:35:11.440 +0800
V2XV003,22/7/2023,300570,100.71893,4.82697,2023-07-22 12:30:01.000 +0800,2023-07-22 12:30:43.317 +0800,-00:11:19.683,2023-07-22 12:30:01.266 +0800
V2XV003,29/7/2023,300570,100.71893,4.82697,2023-07-29 00:00:00.000 +0800,2023-07-29 00:00:00.000 +0800,0:00:00,2023-07-29 16:12:16.795 +0800
V2XV004,1/7/2023,305330,100.58711,5.05011,2023-07-01 11:59:33.000 +0800,2023-07-01 12:01:12.803 +0800,-00:09:59.197,2023-07-01 11:59:33.213 +0800
V2XV004,1/7/2023,243239,100.54194,5.0104346,2023-07-01 10:49:04.000 +0800,2023-07-01 10:55:55.721 +0800,-00:01:40.279,2023-07-01 10:49:04.628 +0800
V2XV004,5/7/2023,305330,100.58711,5.05011,2023-07-05 12:49:08.000 +0800,2023-07-05 12:57:01.643 +0800,-00:00:58.357,2023-07-05 12:49:08.592 +0800
V2XV004,8/7/2023,243239,100.54194,5.0104346,2023-07-08 12:33:06.000 +0800,2023-07-08 12:33:45.487 +0800,-00:01:35.513,2023-07-08 12:33:06.426 +0800
V2XV004,8/7/2023,305330,100.58711,5.05011,2023-07-08 11:37:24.000 +0800,2023-07-08 11:38:51.430 +0800,-00:21:27.57,2023-07-08 11:37:24.313 +0800
V2XV004,12/7/2023,305330,100.58711,5.05011,2023-07-12 13:41:04.000 +0800,2023-07-12 13:42:04.158 +0800,-00:02:47.842,2023-07-12 13:41:04.697 +0800
V2XV004,15/7/2023,305330,100.58711,5.05011,2023-07-15 11:40:29.000 +0800,2023-07-15 11:41:41.495 +0800,-00:14:53.505,2023-07-15 11:40:29.865 +0800
V2XV004,15/7/2023,243239,100.54194,5.0104346,2023-07-15 10:37:07.000 +0800,2023-07-15 10:37:57.090 +0800,-00:20:48.91,2023-07-15 10:37:07.339 +0800
V2XV004,19/7/2023,305330,100.58711,5.05011,2023-07-19 12:31:18.000 +0800,2023-07-19 12:32:18.815 +0800,-00:09:56.185,2023-07-19 12:31:18.116 +0800
V2XV004,22/7/2023,243239,100.54194,5.0104346,2023-07-22 13:02:03.000 +0800,2023-07-22 13:02:53.506 +0800,-00:01:02.494,2023-07-22 13:02:03.992 +0800
V2XV004,22/7/2023,305330,100.58711,5.05011,2023-07-22 13:01:33.000 +0800,2023-07-22 13:01:33.000 +0800,0:00:00,2023-07-22 13:01:33.375 +0800
V2XV004,22/7/2023,305330,100.58711,5.05011,2023-07-22 13:00:15.000 +0800,2023-07-22 13:00:18.644 +0800,-00:00:31.356,2023-07-22 13:00:15.266 +0800
V2XV004,26/7/2023,305330,100.58711,5.05011,2023-07-26 13:19:39.000 +0800,2023-07-26 13:21:27.109 +0800,-00:20:36.891,2023-07-26 13:19:40.186 +0800
V2XV004,27/7/2023,305330,100.58711,5.05011,2023-07-27 15:46:04.000 +0800,2023-07-27 15:48:05.811 +0800,1 day 05:59:43.811,2023-07-27 15:46:04.330 +0800
V2XV004,29/7/2023,243239,100.54194,5.0104346,2023-07-29 12:51:42.000 +0800,2023-07-29 12:52:23.374 +0800,-00:01:06.626,2023-07-29 12:51:42.334 +0800
V2XV004,29/7/2023,305330,100.58711,5.05011,2023-07-29 12:31:25.000 +0800,2023-07-29 12:31:26.000 +0800,0:00:00,2023-07-29 12:31:25.500 +0800
V2XV004,29/7/2023,305330,100.58711,5.05011,2023-07-29 12:30:37.000 +0800,2023-07-29 12:30:31.287 +0800,-00:00:16.713,2023-07-29 12:30:37.937 +0800
V2XV006,5/7/2023,321381,100.73299,4.96519,2023-07-05 17:04:02.000 +0800,2023-07-05 17:04:02.000 +0800,0:00:00,2023-07-05 17:04:02.533 +0800
V2XV006,5/7/2023,321381,100.73299,4.96519,2023-07-05 16:59:21.000 +0800,2023-07-05 16:59:16.135 +0800,-00:00:10.865,2023-07-05 16:59:21.151 +0800
V2XV006,12/7/2023,321381,100.73299,4.96519,2023-07-12 17:21:17.000 +0800,2023-07-12 17:21:17.000 +0800,0:00:00,2023-07-12 17:21:17.652 +0800
V2XV006,12/7/2023,321381,100.73299,4.96519,2023-07-12 17:13:13.000 +0800,2023-07-12 17:13:08.351 +0800,-00:00:12.649,2023-07-12 17:13:13.427 +0800
V2XV006,19/7/2023,321381,100.73299,4.96519,2023-07-19 16:11:52.000 +0800,2023-07-19 16:11:52.000 +0800,0:00:00,2023-07-19 16:11:52.622 +0800
V2XV006,19/7/2023,321381,100.73299,4.96519,2023-07-19 16:08:43.000 +0800,2023-07-19 16:08:38.834 +0800,-00:00:10.166,2023-07-19 16:08:43.854 +0800
V2XV006,26/7/2023,321381,100.73299,4.96519,2023-07-26 17:13:20.000 +0800,2023-07-26 17:13:20.000 +0800,0:00:00,2023-07-26 17:13:20.722 +0800
V2XV006,26/7/2023,321381,100.73299,4.96519,2023-07-26 17:08:44.000 +0800,2023-07-26 17:08:37.155 +0800,-00:00:12.845,2023-07-26 17:08:44.318 +0800

This is a CSV data from a .csv file. Follow the following commands in order:

1. If the travel time has '-00:' at the start of the number, remove the '-00:' so it will become a proper timestamp.
2. Give the answer in the above format.
