van_id,visit_date,outlet_id,lng,lat,check_in_at,check_out_at,travelled_time,created_at
V2XV001,5/7/2023,21108053,100.71276,4.84637,2023-07-05 17:55:03.000 +0800,2023-07-05 17:54:53.490 +0800,-00:00:38.51,2023-07-05 17:55:03.041 +0800
V2XV001,5/7/2023,803336,100.72451,4.83978,2023-07-05 17:54:50.000 +0800,2023-07-05 17:54:46.020 +0800,-00:00:16.98,2023-07-05 17:54:50.830 +0800
V2XV001,5/7/2023,21108161,100.71788,4.85121,2023-07-05 17:54:36.000 +0800,2023-07-05 17:54:31.660 +0800,-00:00:18.34,2023-07-05 17:54:36.501 +0800
V2XV001,5/7/2023,829233,100.71258,4.85244,2023-07-05 17:54:07.000 +0800,2023-07-05 17:54:09.744 +0800,-00:00:26.256,2023-07-05 17:54:07.282 +0800
V2XV001,5/7/2023,21108050,100.71282,4.85297,2023-07-05 17:53:55.000 +0800,2023-07-05 17:53:49.992 +0800,-00:00:17.008,2023-07-05 17:53:55.450 +0800
V2XV001,5/7/2023,21108049,100.71275,4.85286,2023-07-05 17:53:32.000 +0800,2023-07-05 17:53:27.790 +0800,-00:00:27.21,2023-07-05 17:53:32.659 +0800
V2XV001,5/7/2023,21108042,100.71285,4.85304,2023-07-05 17:53:25.000 +0800,2023-07-05 17:54:17.973 +0800,00:46.0,2023-07-05 17:53:25.088 +0800
V2XV001,5/7/2023,21108098,100.718,4.85297,2023-07-05 17:53:15.000 +0800,2023-07-05 17:53:41.706 +0800,00:16.7,2023-07-05 17:53:15.771 +0800
V2XV001,5/7/2023,21108100,100.71861,4.85256,2023-07-05 17:53:08.000 +0800,2023-07-05 17:53:03.170 +0800,-00:00:11.83,2023-07-05 17:53:08.048 +0800
V2XV001,5/7/2023,21108065,100.71983,4.85242,2023-07-05 17:53:01.000 +0800,2023-07-05 17:52:56.130 +0800,-00:00:11.87,2023-07-05 17:53:01.037 +0800
V2XV001,5/7/2023,664662,100.7218,4.85359,2023-07-05 17:52:53.000 +0800,2023-07-05 17:52:48.828 +0800,-00:00:12.172,2023-07-05 17:52:53.814 +0800
V2XV001,5/7/2023,405711,100.71879,4.8545,2023-07-05 17:52:33.000 +0800,2023-07-05 17:52:41.840 +0800,-00:00:11.16,2023-07-05 17:52:33.062 +0800
V2XV001,5/7/2023,21108112,100.71854,4.85456,2023-07-05 17:51:43.000 +0800,2023-07-05 17:51:38.873 +0800,-00:00:54.127,2023-07-05 17:51:43.823 +0800
V2XV001,5/7/2023,824778,100.71876,4.85498,2023-07-05 17:51:20.000 +0800,2023-07-05 17:51:16.120 +0800,-00:00:26.88,2023-07-05 17:51:20.949 +0800
V2XV001,5/7/2023,714188,100.71837,4.85509,2023-07-05 17:51:01.000 +0800,2023-07-05 17:52:21.494 +0800,01:01.5,2023-07-05 17:51:01.572 +0800
V2XV001,5/7/2023,21108172,100.71809,4.85499,2023-07-05 17:50:53.000 +0800,2023-07-05 17:50:48.242 +0800,-00:00:12.758,2023-07-05 17:50:53.033 +0800
V2XV001,5/7/2023,347900,100.71755,4.85515,2023-07-05 17:50:28.000 +0800,2023-07-05 17:50:23.289 +0800,-00:00:29.711,2023-07-05 17:50:28.100 +0800
V2XV001,5/7/2023,21108057,100.71721,4.8555,2023-07-05 17:50:21.000 +0800,2023-07-05 17:50:16.716 +0800,-00:00:11.284,2023-07-05 17:50:21.551 +0800
V2XV001,5/7/2023,21108064,100.71419,4.8557,2023-07-05 17:50:08.000 +0800,2023-07-05 17:50:03.722 +0800,-00:00:17.278,2023-07-05 17:50:08.556 +0800
V2XV001,5/7/2023,816260,100.71403,4.85572,2023-07-05 17:50:02.000 +0800,2023-07-05 17:50:10.409 +0800,00:02.4,2023-07-05 17:50:02.454 +0800
