van_id,visit_date,outlet_id,lng,lat,check_in_at,check_out_at,travelled_time,created_at
V2XV001,3/7/2023,245941,100.72076,4.85139,2023-07-03 08:37:49.000 +0800,2023-07-03 08:45:42.232 +0800,-00:02:54.768,2023-07-03 08:37:49.346 +0800
V2XV001,3/7/2023,21102148,100.73984,4.85131,2023-07-03 08:54:51.000 +0800,2023-07-03 17:02:16.367 +0800,02:14.4,2023-07-03 08:54:51.500 +0800
V2XV001,3/7/2023,21102148,100.73984,4.85131,2023-07-03 08:54:51.000 +0800,2023-07-03 17:02:16.367 +0800,02:14.4,2023-07-03 08:54:51.500 +0800
V2XV001,3/7/2023,345483,100.73911,4.84866,2023-07-03 09:00:02.000 +0800,2023-07-03 17:02:30.584 +0800,12:18.6,2023-07-03 09:00:02.350 +0800
V2XV001,3/7/2023,21101018,100.72374,4.84139,2023-07-03 10:50:12.000 +0800,2023-07-03 10:50:19.128 +0800,-00:00:10.872,2023-07-03 10:50:12.411 +0800
V2XV001,3/7/2023,21101019,100.72368,4.84134,2023-07-03 10:50:30.000 +0800,2023-07-03 10:50:24.739 +0800,-00:00:09.261,2023-07-03 10:50:30.631 +0800
V2XV001,3/7/2023,21101018,100.72374,4.84139,2023-07-03 10:50:34.000 +0800,2023-07-03 17:01:49.073 +0800,11:13.1,2023-07-03 10:50:34.340 +0800
V2XV001,3/7/2023,21101019,100.72368,4.84134,2023-07-03 10:50:36.000 +0800,2023-07-03 17:01:59.488 +0800,-00:00:54.512,2023-07-03 10:50:36.744 +0800
V2XV001,3/7/2023,21101015,100.72451,4.84125,2023-07-03 17:02:54.000 +0800,2023-07-03 17:02:49.296 +0800,-00:00:13.704,2023-07-03 17:02:54.529 +0800
V2XV001,3/7/2023,289735,100.73946,4.85197,2023-07-03 17:03:03.000 +0800,2023-07-03 17:02:57.093 +0800,-00:00:12.907,2023-07-03 17:03:03.241 +0800
V2XV001,3/7/2023,21111107,100.73861,4.85177,2023-07-03 17:03:10.000 +0800,2023-07-03 17:03:04.727 +0800,-00:00:12.273,2023-07-03 17:03:10.287 +0800
V2XV001,3/7/2023,21111129,100.73819,4.85103,2023-07-03 17:03:17.000 +0800,2023-07-03 17:03:12.307 +0800,-00:00:11.693,2023-07-03 17:03:17.717 +0800
V2XV001,3/7/2023,769008,100.73881,4.85342,2023-07-03 17:03:24.000 +0800,2023-07-03 17:03:19.300 +0800,-00:00:10.7,2023-07-03 17:03:24.185 +0800
V2XV001,3/7/2023,21110009,100.73837,4.85243,2023-07-03 17:03:30.000 +0800,2023-07-03 17:03:25.723 +0800,-00:00:11.277,2023-07-03 17:03:30.617 +0800
V2XV001,3/7/2023,21111062,100.74029,4.85203,2023-07-03 17:03:37.000 +0800,2023-07-03 17:03:32.424 +0800,-00:00:10.576,2023-07-03 17:03:37.313 +0800
V2XV001,3/7/2023,21110018,100.74142,4.85272,2023-07-03 17:03:43.000 +0800,2023-07-03 17:03:38.865 +0800,-00:00:11.135,2023-07-03 17:03:43.749 +0800
V2XV001,3/7/2023,21110020,100.7423,4.85274,2023-07-03 17:03:50.000 +0800,2023-07-03 17:03:45.945 +0800,-00:00:11.055,2023-07-03 17:03:50.824 +0800
V2XV001,3/7/2023,21110068,100.74261,4.85206,2023-07-03 17:03:57.000 +0800,2023-07-03 17:03:52.592 +0800,-00:00:11.408,2023-07-03 17:03:57.771 +0800
V2XV001,3/7/2023,21110071,100.74174,4.8508,2023-07-03 17:04:04.000 +0800,2023-07-03 17:03:59.461 +0800,-00:00:11.539,2023-07-03 17:04:04.356 +0800
V2XV001,3/7/2023,21110104,100.74049,4.85103,2023-07-03 17:04:11.000 +0800,2023-07-03 17:04:06.226 +0800,-00:00:11.774,2023-07-03 17:04:11.216 +0800
V2XV001,3/7/2023,594670,100.74109,4.8508,2023-07-03 17:04:18.000 +0800,2023-07-03 17:05:49.854 +0800,01:23.9,2023-07-03 17:04:18.846 +0800
V2XV001,3/7/2023,21111039,100.74028,4.849441,2023-07-03 17:04:26.000 +0800,2023-07-03 17:04:43.299 +0800,00:10.3,2023-07-03 17:04:26.159 +0800
V2XV001,3/7/2023,21111038,100.74001,4.84942,2023-07-03 17:04:33.000 +0800,2023-07-03 17:04:28.213 +0800,-00:00:28.787,2023-07-03 17:04:33.921 +0800
